,example_ids,all_SM_preds,all_SMA_preds,all_SM_probs,all_SMA_probs,all_labels
23,23,5,1,"[0.020683225244283676, 0.11955505609512329, 0.09065283089876175, 0.19318470358848572, 0.214516744017601, 0.36140745878219604]","[0.04768356680870056, 0.256011426448822, 0.13022127747535706, 0.22236914932727814, 0.17362047731876373, 0.17009411752223969]",4
24,24,5,3,"[0.06253760308027267, 0.15893226861953735, 0.1283152848482132, 0.23202458024024963, 0.17728881537914276, 0.2409014105796814]","[0.10442076623439789, 0.20630978047847748, 0.24264489114284515, 0.25838518142700195, 0.12392295151948929, 0.06431647390127182]",1
25,25,5,5,"[0.02250600792467594, 0.15109628438949585, 0.10938642919063568, 0.21469269692897797, 0.19964514672756195, 0.30267345905303955]","[0.02556470036506653, 0.1959286332130432, 0.11109013855457306, 0.16501213610172272, 0.2208084613084793, 0.28159597516059875]",5
26,26,4,3,"[0.011982455849647522, 0.06645206362009048, 0.08687538653612137, 0.23483385145664215, 0.3002401888370514, 0.2996160387992859]","[0.025790462270379066, 0.16108639538288116, 0.15570864081382751, 0.24536186456680298, 0.21626487374305725, 0.19578778743743896]",2
27,27,5,3,"[0.034578680992126465, 0.18583044409751892, 0.10357409715652466, 0.18971598148345947, 0.18177588284015656, 0.30452486872673035]","[0.059082239866256714, 0.2080935686826706, 0.23346731066703796, 0.24116715788841248, 0.15657737851142883, 0.10161235183477402]",3
28,28,5,1,"[0.02285943552851677, 0.24292126297950745, 0.10218258947134018, 0.17591321468353271, 0.15784487128257751, 0.29827865958213806]","[0.1229252964258194, 0.330051988363266, 0.2071186751127243, 0.18392407894134521, 0.09099102765321732, 0.06498896330595016]",5
29,29,5,4,"[0.016102682799100876, 0.09639487415552139, 0.0849638357758522, 0.26082977652549744, 0.23965002596378326, 0.3020588159561157]","[0.0064364029094576836, 0.10356833785772324, 0.07282159477472305, 0.23171935975551605, 0.3357662558555603, 0.24968811869621277]",4
30,30,5,5,"[0.035005465149879456, 0.15477141737937927, 0.12931948900222778, 0.20194169878959656, 0.19293706119060516, 0.28602486848831177]","[0.023952269926667213, 0.1886732280254364, 0.07651585340499878, 0.13822880387306213, 0.23268094658851624, 0.3399488627910614]",1
31,31,1,1,"[0.09312449395656586, 0.28348520398139954, 0.1211494579911232, 0.15728406608104706, 0.11530003696680069, 0.22965669631958008]","[0.14756835997104645, 0.24179847538471222, 0.21054990589618683, 0.18881677091121674, 0.11019293963909149, 0.10107347369194031]",1
32,32,3,5,"[0.005880207754671574, 0.08318506926298141, 0.04965881258249283, 0.352258563041687, 0.2874023914337158, 0.2216149866580963]","[0.026095008477568626, 0.23024813830852509, 0.10719971358776093, 0.1809370517730713, 0.20731519162654877, 0.24820490181446075]",3
33,33,1,3,"[0.14446943998336792, 0.21307247877120972, 0.16994160413742065, 0.17120112478733063, 0.11589497327804565, 0.18542040884494781]","[0.05177285149693489, 0.1288488507270813, 0.17797726392745972, 0.24410222470760345, 0.22177830338478088, 0.17552053928375244]",3
34,34,5,4,"[0.04662708938121796, 0.20385396480560303, 0.10842781513929367, 0.18818101286888123, 0.16198579967021942, 0.2909243404865265]","[0.01644451543688774, 0.1718931943178177, 0.08108401298522949, 0.2064608931541443, 0.2631233036518097, 0.2609940767288208]",5
35,35,5,1,"[0.0526471808552742, 0.21676254272460938, 0.13190290331840515, 0.15818855166435242, 0.14915363490581512, 0.29134517908096313]","[0.14620986580848694, 0.22843822836875916, 0.1781712770462036, 0.1677272766828537, 0.13844554126262665, 0.14100784063339233]",3
36,36,3,3,"[0.0282529778778553, 0.09871485084295273, 0.12237275391817093, 0.26188984513282776, 0.23906072974205017, 0.2497088611125946]","[0.05719009414315224, 0.1957591474056244, 0.2059270590543747, 0.3100929260253906, 0.16459673643112183, 0.06643404066562653]",2
37,37,5,1,"[0.014858987182378769, 0.1254422962665558, 0.08289701491594315, 0.21829435229301453, 0.24720965325832367, 0.3112976849079132]","[0.1267346441745758, 0.23061645030975342, 0.22985583543777466, 0.1994742453098297, 0.1205785945057869, 0.0927402600646019]",4
38,38,5,3,"[0.013154529966413975, 0.14510218799114227, 0.08306029438972473, 0.2116222083568573, 0.21200640499591827, 0.3350544571876526]","[0.046067655086517334, 0.20880471169948578, 0.16522611677646637, 0.25708240270614624, 0.19200140237808228, 0.13081768155097961]",5
39,39,5,3,"[0.01794210448861122, 0.10707293450832367, 0.08616729080677032, 0.2638247311115265, 0.2101728469133377, 0.3148201107978821]","[0.009446644224226475, 0.0928429365158081, 0.12077324837446213, 0.3127793073654175, 0.27713966369628906, 0.18701818585395813]",5
40,40,5,1,"[0.06021977216005325, 0.15632890164852142, 0.11748713254928589, 0.230821430683136, 0.1982453316450119, 0.23689745366573334]","[0.06140705198049545, 0.24660328030586243, 0.15003906190395355, 0.22975333034992218, 0.17915400862693787, 0.13304324448108673]",2
41,41,5,1,"[0.025598755106329918, 0.14945192635059357, 0.0866779088973999, 0.2096887081861496, 0.18412403762340546, 0.3444586992263794]","[0.225997656583786, 0.29835277795791626, 0.17090223729610443, 0.14933912456035614, 0.07724460959434509, 0.07816353440284729]",3
42,42,1,1,"[0.09384342283010483, 0.4293104112148285, 0.12388240545988083, 0.17403878271579742, 0.10950656235218048, 0.06941843032836914]","[0.12660099565982819, 0.390811026096344, 0.17275367677211761, 0.1779736578464508, 0.10720552504062653, 0.024655112996697426]",0
43,43,5,1,"[0.026417583227157593, 0.14052742719650269, 0.08925756812095642, 0.21233145892620087, 0.20149900019168854, 0.3299669623374939]","[0.11722414940595627, 0.2271573394536972, 0.1680872142314911, 0.20568428933620453, 0.14538948237895966, 0.13645748794078827]",2
44,44,1,1,"[0.15968024730682373, 0.38930395245552063, 0.10190839320421219, 0.1076064482331276, 0.09758087992668152, 0.14392003417015076]","[0.11054661870002747, 0.2516675293445587, 0.17720280587673187, 0.19064649939537048, 0.1473376750946045, 0.12259887903928757]",4
45,45,5,3,"[0.034638021141290665, 0.17474213242530823, 0.09273942559957504, 0.21535226702690125, 0.1558622270822525, 0.32666587829589844]","[0.013997475616633892, 0.1665220558643341, 0.15244874358177185, 0.3582991659641266, 0.20973117649555206, 0.0990014597773552]",2
46,46,5,5,"[0.009966055862605572, 0.0629095807671547, 0.0634937733411789, 0.2554435133934021, 0.2792411148548126, 0.32894596457481384]","[0.01195081789046526, 0.1599462330341339, 0.14759069681167603, 0.2089969366788864, 0.21387770771980286, 0.257637619972229]",3
47,47,4,4,"[0.003739242907613516, 0.08012038469314575, 0.03425002470612526, 0.28444939851760864, 0.30936095118522644, 0.28807997703552246]","[0.0010759005090221763, 0.07940985262393951, 0.04443778842687607, 0.2535373270511627, 0.37765756249427795, 0.24388158321380615]",4
48,48,5,3,"[0.01791835017502308, 0.1598740518093109, 0.08960909396409988, 0.1945580244064331, 0.20465131103992462, 0.33338913321495056]","[0.03888774663209915, 0.2037808895111084, 0.15131741762161255, 0.21002541482448578, 0.2058168202638626, 0.19017179310321808]",1
49,49,4,3,"[0.009740320034325123, 0.04010607302188873, 0.08126708120107651, 0.19205676019191742, 0.34888339042663574, 0.32794636487960815]","[0.0611015260219574, 0.1313849538564682, 0.1818050891160965, 0.2288512885570526, 0.22357699275016785, 0.1732802540063858]",2
50,50,3,3,"[0.062084488570690155, 0.15775729715824127, 0.1336401104927063, 0.2456059455871582, 0.16746555268764496, 0.2334466427564621]","[0.026223696768283844, 0.13653221726417542, 0.193266361951828, 0.29338201880455017, 0.20355720818042755, 0.14703848958015442]",3
51,51,5,3,"[0.04375028610229492, 0.239874929189682, 0.10670337080955505, 0.16017338633537292, 0.16522261500358582, 0.2842754125595093]","[0.04491305351257324, 0.21878212690353394, 0.15501604974269867, 0.22530390322208405, 0.18909165263175964, 0.16689316928386688]",2
52,52,3,4,"[0.007481578271836042, 0.06882315129041672, 0.09974956512451172, 0.2945723533630371, 0.280065655708313, 0.24930772185325623]","[0.01034618727862835, 0.10500407963991165, 0.10477922111749649, 0.2854168713092804, 0.295212060213089, 0.19924159348011017]",4
53,53,5,4,"[0.036789651960134506, 0.16890032589435577, 0.09335458278656006, 0.19387443363666534, 0.19414249062538147, 0.31293848156929016]","[0.023004528135061264, 0.151900976896286, 0.10302386432886124, 0.22870264947414398, 0.268939346075058, 0.2244286686182022]",3
54,54,5,4,"[0.02229662612080574, 0.12747225165367126, 0.08420122414827347, 0.20652194321155548, 0.21676595509052277, 0.342741996049881]","[0.012429614551365376, 0.09797055274248123, 0.10045953094959259, 0.24903082847595215, 0.3154107332229614, 0.2246987372636795]",1
55,55,5,3,"[0.029509173706173897, 0.15570014715194702, 0.07812424004077911, 0.23226973414421082, 0.1997867226600647, 0.3046099841594696]","[0.043565329164266586, 0.2609415650367737, 0.1564200520515442, 0.2791765034198761, 0.17032411694526672, 0.08957241475582123]",3
56,56,5,3,"[0.03228102624416351, 0.11868920177221298, 0.11386877298355103, 0.24688778817653656, 0.2030963897705078, 0.2851767838001251]","[0.1721905767917633, 0.19159457087516785, 0.19995485246181488, 0.2282218486070633, 0.12263862788677216, 0.08539962023496628]",4
57,57,5,3,"[0.016257893294095993, 0.1259383261203766, 0.0945315808057785, 0.2279912829399109, 0.2232801765203476, 0.31200066208839417]","[0.009632672183215618, 0.10228031128644943, 0.11713136732578278, 0.3006002604961395, 0.2929579019546509, 0.1773974895477295]",3
58,58,1,1,"[0.20325317978858948, 0.3841099441051483, 0.11469493806362152, 0.09540256857872009, 0.07627671211957932, 0.12626266479492188]","[0.2944956421852112, 0.34130579233169556, 0.13563822209835052, 0.11016963422298431, 0.07088851183652878, 0.04750221222639084]",0
59,59,5,1,"[0.02698616497218609, 0.20141839981079102, 0.08690090477466583, 0.19783347845077515, 0.18278637528419495, 0.3040746748447418]","[0.04726807773113251, 0.26985472440719604, 0.1419011652469635, 0.2050064355134964, 0.17697545886039734, 0.1589941829442978]",0
60,60,5,1,"[0.00443035876378417, 0.06130554899573326, 0.04907342791557312, 0.19703863561153412, 0.3083493411540985, 0.37980273365974426]","[0.02897815965116024, 0.24855667352676392, 0.12175063788890839, 0.20818428695201874, 0.18144327402114868, 0.2110869139432907]",2
61,61,5,0,"[0.06281507015228271, 0.1548774391412735, 0.14087122678756714, 0.18706925213336945, 0.10808775573968887, 0.3462792634963989]","[0.466023325920105, 0.24451707303524017, 0.14866365492343903, 0.08881741017103195, 0.02444390021264553, 0.027534566819667816]",2
62,62,5,1,"[0.06264535337686539, 0.16342613101005554, 0.07426159828901291, 0.15817490220069885, 0.17381836473941803, 0.3676735758781433]","[0.12239933013916016, 0.20350374281406403, 0.1458919793367386, 0.16320186853408813, 0.1647242158651352, 0.2002788484096527]",5
63,63,5,1,"[0.020211799070239067, 0.1877070516347885, 0.08821050077676773, 0.18706955015659332, 0.18095985054969788, 0.3358412981033325]","[0.21373891830444336, 0.37936392426490784, 0.13591013848781586, 0.11075420677661896, 0.06697869300842285, 0.09325411170721054]",1
64,64,5,3,"[0.02615479752421379, 0.1278672218322754, 0.09036621451377869, 0.24364106357097626, 0.24556921422481537, 0.266401469707489]","[0.10877304524183273, 0.24068687856197357, 0.20060797035694122, 0.2591129541397095, 0.14492982625961304, 0.04588928818702698]",3
65,65,5,3,"[0.020987197756767273, 0.08941119909286499, 0.06607040017843246, 0.23100195825099945, 0.24787454307079315, 0.34465473890304565]","[0.03761425241827965, 0.17584769427776337, 0.14079329371452332, 0.3290989398956299, 0.21031814813613892, 0.10632767528295517]",1
66,66,5,2,"[0.040919918566942215, 0.15111276507377625, 0.09465090185403824, 0.18316617608070374, 0.1882278323173523, 0.34192246198654175]","[0.0689316838979721, 0.20667821168899536, 0.24981452524662018, 0.24144485592842102, 0.14591814577579498, 0.08721259981393814]",4
67,67,5,3,"[0.019673893228173256, 0.1724652647972107, 0.08538935333490372, 0.2101496458053589, 0.23226161301136017, 0.28006014227867126]","[0.020983481779694557, 0.17524665594100952, 0.15692034363746643, 0.3135007619857788, 0.21788443624973297, 0.11546432971954346]",4
68,68,5,3,"[0.030889660120010376, 0.15945519506931305, 0.10296078026294708, 0.2008644938468933, 0.2004479020833969, 0.30538201332092285]","[0.03530893474817276, 0.21383307874202728, 0.19342012703418732, 0.26266613602638245, 0.16919349133968353, 0.12557828426361084]",5
69,69,5,4,"[0.015508485026657581, 0.1291975975036621, 0.0604897066950798, 0.18622127175331116, 0.2698516547679901, 0.33873119950294495]","[0.0097292335703969, 0.12784485518932343, 0.06633356958627701, 0.20361903309822083, 0.3369958996772766, 0.2554773986339569]",5
70,70,5,5,"[0.024048155173659325, 0.1528969556093216, 0.1052904799580574, 0.20537133514881134, 0.2173696905374527, 0.2950233221054077]","[0.04659833014011383, 0.21809737384319305, 0.09480652958154678, 0.1480274498462677, 0.2038145661354065, 0.28865575790405273]",3
71,71,5,1,"[0.041966281831264496, 0.142777219414711, 0.12877370417118073, 0.1885939985513687, 0.16431915760040283, 0.3335697054862976]","[0.13044477999210358, 0.23551806807518005, 0.1874314695596695, 0.19052356481552124, 0.1196373850107193, 0.13644473254680634]",3
72,72,5,5,"[0.009976258501410484, 0.15829084813594818, 0.10711023956537247, 0.2113097757101059, 0.15072397887706757, 0.3625888526439667]","[0.01589551381766796, 0.1831817924976349, 0.11532521992921829, 0.20190297067165375, 0.19984851777553558, 0.283845990896225]",2
73,73,5,4,"[0.012718508020043373, 0.12865139544010162, 0.08638006448745728, 0.22450362145900726, 0.259168416261673, 0.28857794404029846]","[0.008208737708628178, 0.11067232489585876, 0.0643998384475708, 0.2174583226442337, 0.3469958007335663, 0.25226491689682007]",4
74,74,1,2,"[0.055046144872903824, 0.23237331211566925, 0.20848000049591064, 0.21341823041439056, 0.11064432561397552, 0.1800379604101181]","[0.0448046512901783, 0.19527539610862732, 0.255215585231781, 0.24833405017852783, 0.15138575434684753, 0.10498456656932831]",1
75,75,5,1,"[0.014626114629209042, 0.15130726993083954, 0.0880337581038475, 0.21390095353126526, 0.20793215930461884, 0.32419976592063904]","[0.047353941947221756, 0.25392675399780273, 0.1273120641708374, 0.2081524133682251, 0.19394703209400177, 0.16930779814720154]",3
76,76,5,1,"[0.026610299944877625, 0.19029483199119568, 0.10390153527259827, 0.23722119629383087, 0.1669362485408783, 0.27503588795661926]","[0.059653643518686295, 0.3115456700325012, 0.14304161071777344, 0.25167611241340637, 0.14640551805496216, 0.08767741173505783]",1
77,77,3,1,"[0.0687258243560791, 0.20735883712768555, 0.11284003406763077, 0.27770286798477173, 0.12276580184698105, 0.2106066197156906]","[0.141773983836174, 0.39324671030044556, 0.15453866124153137, 0.1758326292037964, 0.07006824016571045, 0.0645398274064064]",1
78,78,5,1,"[0.02817569486796856, 0.14103364944458008, 0.10629623383283615, 0.21816083788871765, 0.22925159335136414, 0.27708199620246887]","[0.1303013116121292, 0.27529290318489075, 0.1888585239648819, 0.19828400015830994, 0.12650489807128906, 0.08075839281082153]",3
79,79,1,1,"[0.2018132507801056, 0.3354472219944, 0.1879427284002304, 0.1525430977344513, 0.08682279288768768, 0.03543096408247948]","[0.26918649673461914, 0.3750196099281311, 0.15552130341529846, 0.12904146313667297, 0.055991899222135544, 0.015239277854561806]",2
80,80,3,3,"[0.02514415979385376, 0.13852623105049133, 0.12298454344272614, 0.2585655152797699, 0.20710629224777222, 0.24767319858074188]","[0.02759433351457119, 0.18237075209617615, 0.12878292798995972, 0.2995869517326355, 0.21121357381343842, 0.1504514366388321]",0
81,81,5,1,"[0.024528825655579567, 0.19241037964820862, 0.0771617591381073, 0.17146539688110352, 0.18543383479118347, 0.3489997386932373]","[0.10335700958967209, 0.3505079746246338, 0.1860361397266388, 0.1743907481431961, 0.10475613176822662, 0.08095204830169678]",3
82,82,5,3,"[0.019756417721509933, 0.1197592094540596, 0.12026696652173996, 0.2689216136932373, 0.2009037286043167, 0.2703920602798462]","[0.022431544959545135, 0.14411067962646484, 0.09986075758934021, 0.2992514967918396, 0.24190199375152588, 0.19244346022605896]",5
83,83,5,3,"[0.02015766128897667, 0.11666286736726761, 0.07705332338809967, 0.20254895091056824, 0.23334082961082458, 0.3502363860607147]","[0.034928515553474426, 0.23251304030418396, 0.1916307806968689, 0.2500900328159332, 0.1655929684638977, 0.12524469196796417]",1
84,84,5,3,"[0.025746023282408714, 0.11980076134204865, 0.06775714457035065, 0.21375350654125214, 0.21654705703258514, 0.35639551281929016]","[0.03650059551000595, 0.16434839367866516, 0.13538014888763428, 0.2695871889591217, 0.23872528970241547, 0.15545836091041565]",3
85,85,0,4,"[0.26797056198120117, 0.206943079829216, 0.1196538433432579, 0.16161507368087769, 0.12019854784011841, 0.123618945479393]","[0.11132850497961044, 0.1789577305316925, 0.10266201198101044, 0.18484708666801453, 0.22511026263237, 0.19709442555904388]",3
86,86,5,2,"[0.025127476081252098, 0.11129865795373917, 0.13944603502750397, 0.2260589599609375, 0.21336744725704193, 0.2847013473510742]","[0.08729451894760132, 0.23049773275852203, 0.25752612948417664, 0.22226709127426147, 0.1271926611661911, 0.07522188872098923]",2
87,87,5,1,"[0.05705050006508827, 0.17169685661792755, 0.092422254383564, 0.21699100732803345, 0.1917835921049118, 0.27005574107170105]","[0.29454725980758667, 0.3085821270942688, 0.16749298572540283, 0.13997764885425568, 0.05621262267231941, 0.03318736329674721]",4
88,88,0,0,"[0.31648707389831543, 0.22543969750404358, 0.11910063773393631, 0.13368842005729675, 0.09278042614459991, 0.11250368505716324]","[0.4970089793205261, 0.23899327218532562, 0.09526751190423965, 0.07631111145019531, 0.047600701451301575, 0.04481843113899231]",1
89,89,5,1,"[0.013966549187898636, 0.14827565848827362, 0.08574885874986649, 0.21301114559173584, 0.204107403755188, 0.3348904550075531]","[0.08354850858449936, 0.2581702172756195, 0.17893607914447784, 0.20917998254299164, 0.14580565690994263, 0.12435955554246902]",5
90,90,5,3,"[0.021343452855944633, 0.09406563639640808, 0.15257619321346283, 0.22796477377414703, 0.21793240308761597, 0.2861174941062927]","[0.037806425243616104, 0.11360476911067963, 0.25584980845451355, 0.27670028805732727, 0.21052658557891846, 0.10551212728023529]",2
91,91,5,1,"[0.03265022113919258, 0.1996089071035385, 0.10685522109270096, 0.20032405853271484, 0.1625417023897171, 0.2980199456214905]","[0.043749235570430756, 0.2536894381046295, 0.13544514775276184, 0.24147726595401764, 0.18091748654842377, 0.1447213888168335]",5
92,92,5,1,"[0.04594581574201584, 0.22226035594940186, 0.11288878321647644, 0.20585067570209503, 0.11668497323989868, 0.29636943340301514]","[0.14299200475215912, 0.3895004391670227, 0.1260068118572235, 0.13053949177265167, 0.08871524780988693, 0.12224601209163666]",2
93,93,1,3,"[0.04905985668301582, 0.318166047334671, 0.08172737807035446, 0.15408343076705933, 0.11533311754465103, 0.2816302180290222]","[0.051243558526039124, 0.23892979323863983, 0.20182138681411743, 0.26435747742652893, 0.13948878645896912, 0.10415901988744736]",0
94,94,5,3,"[0.025289954617619514, 0.12677784264087677, 0.06913580000400543, 0.17495232820510864, 0.1751851886510849, 0.4286588132381439]","[0.007307479158043861, 0.10150789469480515, 0.10459132492542267, 0.28589871525764465, 0.2697581350803375, 0.23093649744987488]",5
95,95,5,4,"[0.03530338034033775, 0.16066478192806244, 0.08090303838253021, 0.1593015491962433, 0.17973853647708893, 0.38408875465393066]","[0.0406445749104023, 0.18852490186691284, 0.11718779057264328, 0.18351729214191437, 0.23584672808647156, 0.23427876830101013]",0
96,96,5,1,"[0.03207578510046005, 0.21642816066741943, 0.11877831071615219, 0.20111720263957977, 0.1536933332681656, 0.27790722250938416]","[0.09275373816490173, 0.32184529304504395, 0.1224500834941864, 0.13655737042427063, 0.12481649219989777, 0.2015770524740219]",5
97,97,5,3,"[0.031173372641205788, 0.14552676677703857, 0.12005659192800522, 0.23595030605793, 0.19244900345802307, 0.2748439311981201]","[0.04110187664628029, 0.19462116062641144, 0.11157213896512985, 0.2420647293329239, 0.22858677804470062, 0.18205325305461884]",1
98,98,5,4,"[0.018382428213953972, 0.09149044007062912, 0.11807482689619064, 0.25858187675476074, 0.25230932235717773, 0.26116111874580383]","[0.00595926633104682, 0.1012854352593422, 0.07875870913267136, 0.2202179878950119, 0.3188495934009552, 0.2749290466308594]",2
99,99,5,1,"[0.042812034487724304, 0.20843534171581268, 0.13103264570236206, 0.14778092503547668, 0.16033753752708435, 0.30960148572921753]","[0.1580943912267685, 0.2297355979681015, 0.22351039946079254, 0.1857556849718094, 0.10853070765733719, 0.09437326341867447]",2
100,100,5,1,"[0.005736834369599819, 0.10289283841848373, 0.049290917813777924, 0.21238039433956146, 0.27131861448287964, 0.35838040709495544]","[0.018232600763440132, 0.27942341566085815, 0.09088229387998581, 0.17200420796871185, 0.1779688000679016, 0.2614886462688446]",5
101,101,5,3,"[0.0081565510481596, 0.16793134808540344, 0.07949655503034592, 0.18718405067920685, 0.15188953280448914, 0.4053419232368469]","[0.006013210862874985, 0.1088532879948616, 0.10498351603746414, 0.2769957482814789, 0.24929462373256683, 0.25385960936546326]",2
102,102,5,4,"[0.010932514443993568, 0.15379156172275543, 0.0746593028306961, 0.1928403228521347, 0.24660252034664154, 0.321173757314682]","[0.0021792647894471884, 0.08085191249847412, 0.07522816956043243, 0.29416561126708984, 0.3701063394546509, 0.1774686723947525]",4
103,103,5,3,"[0.014547034166753292, 0.0627792701125145, 0.07399521768093109, 0.2630809545516968, 0.27425190806388855, 0.3113456666469574]","[0.018478604033589363, 0.1124793142080307, 0.12729550898075104, 0.28086405992507935, 0.26001986861228943, 0.20086264610290527]",5
