json_id,statement,subject,speaker,job_title,state,party_affiliation,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,justification,sentiment,question,grammar_errors,ratio_of_capital_letters,curse,emotion,gibberish,offensiveness,political_bias,articles,SM_pred,SMA_pred,SM_prob,SMA_prob,label_num,SM_highest_prob,SMA_highest_prob,SM_prob_entropy,SMA_prob_entropy,sort_key
5095.json,Says President Barack Obama is a socialist.,"government-regulation,new-hampshire-2012,patriotism",rick-perry,Governor,Texas,republican,30,30,42,23,18,a Republican debate in New Hampshire.,"We find Obama and Rubios overall experience to be roughly equivalent. Rubio would have an edge in political experience, although his time as a part-time city commissioner for a town of less than 6,000 people isnt as rigorous as holding statewide office. Obamas term as a senator came to a close sooner than Rubios would, due to the timing of the elections. But real-life experience outside the bubble of politics counts for something, too. Obama worked for years doing several different jobs, while Rubio spent some time as a lawyer. The time frame has something to do with it -- Obama was 47 when he became president, while Rubio would be 45 if he won electionin November 2016.",neutral,not_question,0,9.3,non-curse,neutral,mild gibberish,offensive,CENTER,"The recent surge in accusations against President Barack Obama, labeling him a socialist, has garnered significant attention and ignited debate among the political sphere.  This claim, rooted in a misunderstanding of political ideologies, stems from a selective usage of facts and a deliberate distortion of Obama's policies and platform. It is important to clarify that President Obama is not a socialist, nor does he subscribe to a socialist ideology. His policies, grounded in liberal democratic principles and social liberalism, are demonstrably distinct from the tenets of socialism.  He embraces a blend of capitalism, social safety nets, and democratic values, which have propelled his economic reforms and social progress over his presidency.  The President's administration actively promotes a robust free market while also fostering a universal healthcare system, expanding educational opportunities, and ensuring social security benefits for the elderly and the disabled.  This nuanced approach, prioritizing economic growth and social welfare, stands in direct contrast to the principles and practices of socialism, which prioritize economic equality and statism. It's crucial to acknowledge the President's efforts to promote economic freedom and individual responsibility alongside his commitment to social services and safety nets. He aims to create a more just and equitable society while maintaining a robust economy.  These efforts, though sometimes controversial, are not consistent",3,0,"[0.12987540662288666, 0.16870585083961487, 0.15950456261634827, 0.2670690417289734, 0.0958981066942215, 0.17894698679447174]","[0.4953508973121643, 0.25636744499206543, 0.1186460480093956, 0.07900866866111755, 0.025684904307127, 0.024941958487033844]",0,0.2670690417289734,0.4953508973121643,2.515285399585398,1.9281595422488995,0.13229288946474682
9854.json,"Thomas Jefferson said, That government is best which governs the least, because its people discipline themselves.",elections,jody-hice,,,republican,0,1,0,0,0,a Facebook post,,neutral,not_question,0,2.65,non-curse,neutral,clean,non-offensive,RIGHT,"The idea that government should govern the least has been debated for decades, a testament to the ever-present tension between individual freedom and collective responsibilities. It’s a statement that often finds its roots in political thinkers like Thomas Jefferson, who believed that self-governance and discipline would be the pillars of a truly successful and flourishing society. Jefferson's assertion, that ""That government is best which governs the least, because its people discipline themselves"", reflects a core belief that a government's role should primarily be to enable and facilitate the citizen's agency, rather than imposing heavy control. He saw government as a means to protect the individual's natural rights and ensure their well-being. He believed that the citizens of a nation, through their active participation in the political sphere and adherence to moral principles, would be the driving force behind social and economic stability. He envisioned a system where citizens, empowered by knowledge and self-discipline, would be responsible for making decisions that positively impact their own lives and communities. This ideology laid the foundation for the American founding documents, where the very language reflects Jefferson's vision.While Jefferson’s perspective on limited government holds undeniable merit, its application in practice is often debated. His philosophy echoes the principles of self-",5,1,"[0.020192252472043037, 0.17646774649620056, 0.10213249921798706, 0.1976202130317688, 0.19112227857112885, 0.31246501207351685]","[0.11994244158267975, 0.4138794541358948, 0.1297641098499298, 0.13281884789466858, 0.09113848954439163, 0.11245673894882202]",1,0.3124650120735168,0.4138794541358948,2.334419299275952,2.332328696807723,0.1293228486335529
11443.json,I did not play any role in bringing the company to RI as did others in government. I was tasked with handling the legislation affecting the company by my superiors.,"bankruptcy,debt",steven-costantino,House Finance Chairman ,Rhode Island,democrat,0,1,0,1,0,a statement,"In his defense, Costantino issued a statement in which he said: ""I did not play any role in bringing the company to RI as did others in government. I was tasked with handling the legislation affecting the company by my superiors. ""In other words: Dont blame me, I was just doing my job. But the records and comments of people involved illustrate that Costantino played a key part in Rhode Island's courtship of 38 Studios. The legislation he helped pass, offering valuable loan guarantees, was his idea, according to one former EDC official. During the process, Costantino shielded his idea from the type of full political scrutiny that might have killed it. He did this by not naming 38 Studios on the House floor when he was asked who was pushing for the loan-guarantee program. When the deal was done, the CEO of Schilling's company thanked all members of the General Assembly and singled out five elected officials by name, including the former House Finance Committee chairman. Costantino played a pivotal role in creating the 38 Studios mess. In some ways, the record shows he bears as much responsibility as the other elected government officials who ""tasked"" him.",neutral,not_question,0,2.44,non-curse,neutral,mild gibberish,non-offensive,RIGHT,"My job as a journalist isn't all glamorous interviews and reporting on world events. Sometimes, the task involves digging deeper into the corporate world, understanding the intricate web of legislative and regulatory affairs. One such instance is the recent move of [Company Name] to [Location], a decision that has sparked a lot of debate and questions. While the general public often points fingers, claiming there's a direct causal link between their actions and the relocation of this major company, this is a narrative that does not reflect the truth.To be clear, I was not involved in any decisions that led to the relocation of [Company Name] to [Location]. It's important to understand that this decision was made by those at the top of the company. It wasn't a decision made by some individuals in government or other public bodies who orchestrated the entire process. There are allegations that certain individuals in government are directly responsible for the move. These allegations are completely false. My own role has been to solely process legislation related to [Company Name] and ensure it aligns with the company's interests. In short, my responsibility is to interpret and execute the legal framework, not create it. My job is focused on ensuring the company can operate smoothly within the regulatory landscape",5,1,"[0.020211799070239067, 0.1877070516347885, 0.08821050077676773, 0.18706955015659332, 0.18095985054969788, 0.3358412981033325]","[0.21373891830444336, 0.37936392426490784, 0.13591013848781586, 0.11075420677661896, 0.06697869300842285, 0.09325411170721054]",1,0.3358412981033325,0.3793639242649078,2.303137169845842,2.329607775172122,0.12740607277870095
8961.json,"Chained CPI would save $1 trillion in the second decade off the federal budget debt, a report shows.","economy,federal-budget,medicare,social-security",david-brooks,,,none,0,0,2,0,0,"comments on NBC's ""Meet the Press""","As the Fox News video showed, there is at least one person receiving those federal benefits who bought lobster. The man did say he does so if its on sale. From what weve seen, there are few people buying such high-end items. But it is possible, just as Morris said.",positive,not_question,0,4.0,non-curse,neutral,mild gibberish,non-offensive,CENTER,"According to a recent report from the Center on Budget and Policy Priorities, the implementation of a chained CPI would save the federal budget debt an unprecedented $1 trillion in the second decade off its existence. This significant savings could be attributed to the way chained CPI reflects the true cost of healthcare and other essential services for consumers. It's believed that the program would also lead to an increase in federal savings by increasing the retirement age and incentivizing more efficient government service provision.The report also revealed that chained CPI is a proven solution that has demonstrated its effectiveness in slowing the growth of government debt over the past few years. This mechanism has successfully implemented its benefits, and despite criticism from some political groups, it continues to receive wide support from across political spectrum. The impact of chained CPI, as indicated in the report, would be far-reaching. This proposed change promises to bring about a substantial reduction in the federal budget debt and open the door to improved financial stability. Implementing chained CPI could significantly improve federal retirement age and incentivize more efficient government services. The potential of chained CPI as a game-changer for long-term economic stability is undeniable.Although the implementation of chained CPI presents challenges in terms of political debate and logistical considerations, the potential benefits for the long-",5,3,"[0.03743084892630577, 0.14662505686283112, 0.10277948528528214, 0.22010764479637146, 0.1451239436864853, 0.34793296456336975]","[0.026812734082341194, 0.1776202768087387, 0.17517417669296265, 0.3661021888256073, 0.17450186610221863, 0.0797886773943901]",3,0.3479329645633697,0.3661021888256073,2.335605494507865,2.2843451782122566,0.1273790198912321
6665.json,Mitt Romney said it was tragic to end the war in Iraq.,iraq,barack-obama,President,Illinois,democrat,70,71,160,163,9,"a speech at the Democratic National Convention in Charlotte, N.C.","Beyer said, ""We have trade agreements with 20 countries, and we have trade surpluses with each one of those 20. ""Data show the U. S.  is running trade deficits with seven of those trade-agreement nations through the first nine months of this year and ran deficits with six of those countries in 2015.",negative,not_question,0,5.56,non-curse,sadness,clean,non-offensive,RIGHT,"The former Massachusetts Governor and current Republican presidential candidate, Mitt Romney, has emerged as a vocal critic of President Obama's decision to end the combat mission in Iraq. While President Obama made his announcement in a speech where he stressed the importance of bringing troops home after a lengthy conflict, Romney believes that the war's conclusion was ""tragic"" and represents a failure to secure lasting peace in the Middle East. During a recent campaign event, Romney described the withdrawal process as a ""disaster"" and a ""lost opportunity"" that left Iraq vulnerable. Romney's statements regarding the war and its end have gained attention as he continues to campaign for the Republican nomination. He has also been vocal about his opposition to President Obama's healthcare policies, further highlighting his stances on both domestic and foreign policy issues.Romney, who served as a senator for Utah from 1985 to 2003, has expressed opinions about the conflict for decades. His stances on the war in Iraq have been a constant source of debate. In recent days, with the ongoing campaign, his concerns regarding the withdrawal have become more relevant than ever. As he continues to campaign for the Republican nomination, his focus on this issue and other foreign policy stances further underscores his determination to shape",5,3,"[0.008119639940559864, 0.05539634823799133, 0.06289200484752655, 0.22268356382846832, 0.2634952664375305, 0.3874131143093109]","[0.007274244911968708, 0.11331719905138016, 0.09441439062356949, 0.32824400067329407, 0.23595422506332397, 0.22079595923423767]",3,0.3874131143093109,0.328244000673294,2.0581620800428415,2.2294227439002294,0.12716603055418838
7135.json,"If you and I fail to defund ObamaCare now, some 16,000 new IRS agents will be begin prying into our private medical records, eyeing each and every one of our treatments and prescriptions for violations.","health-care,retirement",association-mature-american-citizens,,"Washington, D.C. ",organization,0,0,0,0,1,a direct mail letter,"""There are not going to be any discussions about health coverage with an IRS employee. """"The role of the IRS is going to be, again, the tax portions of this,"" he said, ""not the health portions of this. ""Our Ruling    Dan Weber, president of the Association of Mature American Citizens, said in a widely circulated letter that under the federal health overhaul, 16,000 new IRS agents will be ""prying into our private medical records. ""Webers letter recycled arguments that have been repeatedly found to be untrue -- and added a new and equally untrue element.",negative,not_question,3,3.47,non-curse,neutral,clean,non-offensive,RIGHT,"There's a growing debate over the future of ObamaCare, and what this political battle ultimately means for Americans' healthcare. While the conversation often focuses on the costs and access to services, the potential for widespread government overreach is rarely addressed. A disturbingly simplistic truth lies beneath this political rhetoric, one that the mainstream media has largely ignored. A new wave of IRS agents is poised to begin systematically monitoring and controlling our medical records, all in the name of ObamaCare. What might seem like a far-fetched claim, is unfortunately not unfounded, based on the reality of the law's expansive reach.The very foundation of ObamaCare is built upon a framework that extends beyond the traditional healthcare system's borders. It mandates that private insurance companies, who are heavily regulated by the government, hand over their customer data and financial records. These data are then analyzed by the Health Insurance Marketplace, which is further tasked with maintaining records and monitoring activities of every user on the platform. This seemingly innocuous collection of data, however, has become a breeding ground for government overreach.Under ObamaCare, the Affordable Care Act, thousands of new IRS agents will be deployed to conduct intrusive and comprehensive audits of millions of Americans. This will be an unprecedented expansion of the government",5,0,"[0.03959501162171364, 0.19731789827346802, 0.12831604480743408, 0.17863458395004272, 0.16406086087226868, 0.29207557439804077]","[0.4277726411819458, 0.21158961951732635, 0.22565442323684692, 0.09347140043973923, 0.03032274916768074, 0.011189150623977184]",0,0.2920755743980407,0.4277726411819458,2.416875883672089,2.027887569917492,0.12494193988498378
11545.json,Over half of the black workers in this country earn less than $15 an hour.,"diversity,economy,jobs",bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,"a Democratic presidential candidates' forum in Rock Hill, S.C.","Sanders said that ""over half of the black workers in this country earn less"" than $15 an hour. Depending on the time frame used, the data shows that roughly half of black workers earn less than $15. The most recent data shows that half earn less than $15. 60, which is a little higher than what Sanders said, but his number is not far off.",negative,not_question,0,1.35,non-curse,neutral,clean,non-offensive,RIGHT,"New research has shed light on the stark realities of income inequality within the Black community. A troubling finding reveals that over half of Black workers across the country are currently earning less than $15 an hour. This grim reality paints a bleak picture for the future of the American workforce, particularly for those of color, and reveals the systemic issues that have been ignored for decades. The data, compiled from various sources including the US Bureau of Labor Statistics, highlights the widespread underemployment that persists within the Black community.  The average wage for Black workers in the United States, when adjusted for cost of living, is actually lower than those of other demographic groups. This raises questions about policies and initiatives that have failed to address the persistent inequalities in the workplace. The situation is further compounded by the lack of opportunities for career advancement and training within the communities of color. This lack of opportunities leaves many Black workers trapped in low-paying jobs with limited prospects for upward mobility. The lack of access to quality education, healthcare, and social programs can also exacerbate this situation. These systemic issues, coupled with persistent wage gaps, illustrate the ongoing challenges for Black communities in achieving financial stability. While the issue of low wages among Black workers is not new, the current research underscores the urgency to take action and",5,4,"[0.005610354244709015, 0.06225460395216942, 0.06552935391664505, 0.2280530035495758, 0.31762731075286865, 0.32092535495758057]","[0.001767307985574007, 0.061121899634599686, 0.05184706300497055, 0.21731272339820862, 0.388847678899765, 0.2791033685207367]",4,0.3209253549575805,0.388847678899765,2.0870656224712447,2.006293515865279,0.12479107937533837
4134.json,"Your tax dollars are not being used to sue you, the people.",redistricting,alan-hays,state senator,Florida,republican,2,1,0,0,0,a public hearing about redistricting,"The Secretary of State is the defendant because the office is charged with implementing the amendment. (Brown and Diaz-Balart are using legal defense funds -- not tax dollars -- to pay for the lawsuits, said David Simon, spokesman for Brown. )Hays told a group of residents concerned about redistricting, ""Your tax dollars are not being used to sue you the people who voted the 63 percent. ""But tax dollars are being used by the House to try to strike down Amendment 6, as well as by the Secretary of State to defend the amendment in court.",negative,not_question,0,1.69,non-curse,anger,clean,non-offensive,RIGHT,"It’s becoming increasingly clear that the government, at every level, from federal to state and local, is intent on using taxpayer dollars to take legal action against innocent citizens. This is a tactic gaining momentum, and it needs to be stopped. The government, at the time of this writing, is pursuing lawsuits against citizens over things that are not their fault. These lawsuits often involve seemingly innocuous actions, like a small business owner selling their product, or a homeowner making their property improvements. These actions, seemingly harmless in themselves, are being attacked by the government, often through massive lawsuits that can drag on for years. The burden of proof falls entirely on the individual, a burden that is unreasonable and unfair. And most importantly, it sets a dangerous precedent, one where the government is acting like a bully who attempts to intimidate and silence citizens who simply wish to live their lives. Taxpayers’ money is meant to be spent on things that benefit the people, things that create positive change. Instead, we’re seeing the government misuse our hard-earned money for its own purposes, by engaging in aggressive legal action against those who are simply trying to follow the law and live their lives. This behavior is a direct attack on the citizens' fundamental rights. We are",5,1,"[0.010695526376366615, 0.1722181737422943, 0.11024428904056549, 0.1952458918094635, 0.1447906494140625, 0.36680546402931213]","[0.10996416211128235, 0.33925318717956543, 0.21504932641983032, 0.1783488541841507, 0.08027981966733932, 0.07710467278957367]",1,0.3668054640293121,0.3392531871795654,2.252299797571358,2.3769088396403655,0.12443992274682354
4016.json,On pay for fired Milwaukee police officers,state-budget,alberta-darling,"State Senator, 8th District",Wisconsin,republican,1,1,2,1,1,an interview,"""I told Robin that he needs to talk with Mr.  Tobin,"" Darling said. On June 26, 2011, Walker vetoed the provision when he signed the two-year budget. Darling acknowledged she sought a veto of an amendment she co-sponsored.",negative,not_question,0,4.76,non-curse,sadness,word salad,non-offensive,RIGHT,"The recent firing of several Milwaukee police officers has sparked ongoing debate regarding the financial ramifications for those officers. While city officials acknowledge the city's substantial budget constraints, they are pushing for a streamlined process to address potential severance packages and payments. Amidst the growing controversy, a lack of clarity regarding who will ultimately pay for those payments, and the potential financial burden it may pose, has emerged.The circumstances surrounding the firings have been clouded in legal challenges, with some officers facing claims of police brutality and misconduct. These cases have been complicated by conflicting evidence and varying legal interpretations, further adding to the complexity of the situation. In the absence of a clear consensus on the liabilities, the city finds itself navigating a precarious path, struggling to balance the complexities of police misconduct cases with the tight budgetary constraints.City officials remain firm in their commitment to finding fair and equitable solutions, but the process remains slow. The city's focus has shifted to resolving the legal challenges associated with these firings. This shift in strategy highlights the lack of clarity and transparency surrounding the financial implications of the firings.While the city seeks to finalize the legal challenges, concerns linger over the potential cost associated with severance payments for the discharged officers. This uncertainty, coupled with the lack of transparency regarding",3,1,"[0.011248425580561161, 0.2704865038394928, 0.06053741276264191, 0.3078058063983917, 0.12287935614585876, 0.22704248130321503]","[0.054944269359111786, 0.39905285835266113, 0.1228599101305008, 0.22620810568332672, 0.10960481315851212, 0.08732999861240387]",1,0.3078058063983917,0.3990528583526611,2.2085469354647014,2.272338165040184,0.12283078686082403
12203.json,Says the Congressional Budget Office is expecting a protracted economic malaise for at least the next decade under current policies.,economy,tom-price,Congressman,Georgia,republican,1,2,5,3,0,a post on Medium,"U. S.  employees of EADS/Airbus have contributed $15,700 in this election cycle to McCain's campaign. The next highest recipient was Mark Warner, a Democratic candidate for the U. S.  Senate, who has gotten $2,800. Barack Obama has gotten $2,650. Neither McCain nor Obama has gotten any money from Airbus PACs, which have spread around $123,000 to 22 congressional candidates this election cycle.",neutral,not_question,0,3.03,non-curse,neutral,clean,non-offensive,CENTER,"The Congressional Budget Office (CBO) has issued a sobering report detailing the economic prospects for the US under current fiscal policies. Their projections paint a bleak picture, predicting a protracted period of economic malaise for the next decade, a reality fueled by a combination of federal spending and a widening trade deficit.The report unveiled a stark reality: a continued stagnation in real GDP growth, hovering around 1.5% annually.  While this might seem manageable at first, it's a far cry from the robust growth rates witnessed during the last two decades.  This stagnation, according to the CBO, is directly tied to the widening trade deficit, which has consistently outpaced the US's ability to replenish its depleted national resources.Furthermore, the report underscores the lack of progress in addressing fiscal challenges, highlighting a structural budget deficit of $12 trillion, projected to remain constant for the foreseeable future.  This deficit, coupled with the stagnant growth, creates a perfect storm of economic fragility.  The combination of high debt, high interest rates, and limited productivity gains acts as a dampener on any potential for economic recovery.The CBO's analysis goes beyond simply outlining the problem.  They also suggest potential pathways to address these issues.  Their",5,3,"[0.020889785140752792, 0.17342360317707062, 0.0827476903796196, 0.18246176838874817, 0.17769066989421844, 0.36278650164604187]","[0.03591325506567955, 0.21673671901226044, 0.17390349507331848, 0.3354668617248535, 0.17547523975372314, 0.06250440329313278]",3,0.3627865016460418,0.3354668617248535,2.2738402710931718,2.308532346026688,0.12170284918333606
8104.json,"A high school dropout makes on average $19,000 a year, a high school graduate makes $28,000 a year, a college graduate makes $51,000 a year.","education,pundits",don-lemon,CNN anchor,Georgia,journalist,0,1,0,1,0,a commentary on CNN,"To date, Bachmann has no specific proposal for how she would  like to overhaul the two entitlement programs. Rather, she mentioned a separate  proposal made by fellow Republican Paul Ryan, though she's made no commitments  to his -- or anyone else's -- plan.",neutral,not_question,0,0.71,non-curse,neutral,clean,non-offensive,LEFT,"The recent data released by the National Center for Education Statistics reveals a stark reality about education and its impact on earning potential. A high school dropout, despite their lack of a formal education, finds themselves earning an average of $19,000 annually. This highlights the significant economic gap present in the workforce, a gap often attributed to the lack of academic experience and critical life skills that a high school diploma or beyond offers. In contrast, a high school graduate brings home an average annual income of $28,000. While not directly comparable to a college graduate, this figure illustrates the significant leap forward compared to the life path without a high school diploma. The final and most pronounced jump comes in the form of a college graduate, with their average income of $51,000.  This demonstrates that the pursuit of higher education often translates into substantial financial rewards that shape an individual’s trajectory in terms of career advancements and overall well-being. The stark contrast between the average incomes of those with and without a college degree underscores the undeniable benefits of formal education for economic success. The data underscores the importance of encouraging young adults to pursue higher education, not only for its intellectual and personal growth but also for its contribution to long-term economic stability",5,4,"[0.01671919785439968, 0.1593376100063324, 0.08006428927183151, 0.18185894191265106, 0.23262430727481842, 0.3293956220149994]","[0.003169180126860738, 0.09190794080495834, 0.07720938324928284, 0.287553608417511, 0.3690103590488434, 0.17114950716495514]",4,0.3293956220149994,0.3690103590488434,2.2769140511017696,2.1117508070492406,0.12155039674887202
5756.json,Weve brought trade cases against China at nearly twice the rate as the last administration.,"bush-administration,china,job-accomplishments,trade",barack-obama,President,Illinois,democrat,70,71,160,163,9,a speech at Port of Tampa,"Obama said his administration has ""brought trade cases against China at nearly twice the rate as the last administration. ""Though the statistic takes into account the fact that China didnt join the WTO until nearly a year into Bushs term, it fails to acknowledge time for China after it joined to adjust to new WTO regulation. By contrast, Obama's administration could hit the ground running. Also, there are several external factors that affect an administration's decision to pursue trade cases. Those are important details and context.",neutral,not_question,1,2.2,non-curse,neutral,clean,non-offensive,RIGHT,"The past few years have been a period of substantial change in trade policy, with the United States taking a more aggressive stance in engaging with the global market.  This approach has been evident in the recent surge in trade-related disputes, as the Biden administration has taken action against Chinese companies for alleged unfair labor practices. Notably, the administration has brought trade cases against China at nearly twice the rate of the previous administration, demonstrating a stark shift in priorities.  This has been a major focal point for discussions, with concerns ranging from the impact on economic growth to the effectiveness of these actions in achieving intended goals. While some argue that this increased activity benefits the trade war narrative, others contend that this increased activity has a detrimental effect on the American economy and companies, exacerbating existing supply chain vulnerabilities.  The administration has maintained that its actions are aimed at securing fair labor practices for American workers and safeguarding the domestic industries.  Despite the various perspectives, the recent push for increased trade actions against China has been a defining characteristic of the Biden administration's approach to the global economy. The current administration has taken a firm stance against China, demonstrating a more proactive role in confronting alleged violations of international trade law. The increased focus on trade litigation, which has become a recurring",4,3,"[0.0052617937326431274, 0.061098840087652206, 0.046508945524692535, 0.2596500515937805, 0.3365422487258911, 0.2909380793571472]","[0.0031382511369884014, 0.0896117314696312, 0.08554821461439133, 0.3573722243309021, 0.31683745980262756, 0.14749214053153992]",3,0.3365422487258911,0.3573722243309021,2.044183151010074,2.1045737554592203,0.12027085200849541
13155.json,Says Ron Johnson helped companies ship jobs overseas.,"foreign-policy,jobs,trade",russ-feingold,,Wisconsin,democrat,2,4,7,5,1,a TV ad,"Our rating Citing Johnsons votes for free trade agreements with South Korea, Panama and Colombia, Feingold says Ron Johnson ""helped companies ship jobs overseas. ""There are estimates that the largest of the three deals, with South Korea, resulted in a loss of jobs in the United States. But those estimates are disputed, largely because of how difficult it is to isolate one cause for changes in employment. Moreover, the job-loss estimates do not state that any U. S.  jobs were shipped overseas.",neutral,not_question,0,5.66,non-curse,neutral,mild gibberish,non-offensive,CENTER,"The accusations swirling around Senator Ron Johnson, a leading figure in the Republican party, are reaching new heights.  Just as the nation grapples with the complex reality of lost jobs and stagnant wages, allegations have emerged suggesting Johnson's actions, particularly in regards to trade policies and tax breaks, have actively contributed to the outsourcing of American jobs.  Critics are citing Johnson's consistent support for policies that benefit corporations, even at the cost of American workers.  This argument, however, remains hotly debated within the halls of Congress. Johnson's stance on trade, particularly his opposition to the Trans-Pacific Partnership (TPP), is often seen as promoting the interests of multinational corporations while disadvantaging American manufacturers and workers.  His support for tax breaks for corporations, despite the ongoing challenges of affordable healthcare and rising tuition costs for American students, is another point of contention.  These policies, some argue, create an environment where businesses are prioritized over workers, effectively furthering the trend of job relocation overseas. The debate surrounding Johnson's influence on job creation and relocation tactics within the United States continues.  While some may point to the complexity of global economic forces as an undeniable reality, others see Johnson's policies as potentially accelerating or even actively fostering",5,1,"[0.035715602338314056, 0.17882828414440155, 0.08885487169027328, 0.17162726819515228, 0.16369159519672394, 0.3612823188304901]","[0.1790774166584015, 0.3328839838504791, 0.2394924908876419, 0.16115473210811615, 0.05843019858002663, 0.028961172327399254]",1,0.3612823188304901,0.3328839838504791,2.3205368515925535,2.2782090319591295,0.12026509758703252
2218.json,"Says Democrat Hank Gilbert has a criminal conviction for theft, has multiple years of unpaid taxes, has multiple tax liens and fines, unsafe driving convictions (and) has recently been accused of taking a bribe and is on record lying to the press this year about his criminal record.","candidates-biography,crime",todd-staples,state agriculture commissioner,Texas,republican,0,1,4,3,1,a consultant's e-mail to PolitiFact Texas.,"Gilbert wasnt arrested on the charge, though he certainly faced justice and could have mentioned the conviction on the questionnaire. Footnote: Wed be happy not to sort multi-part charges again.",negative,not_question,0,1.41,non-curse,anger,mild gibberish,non-offensive,CENTER,"Democratic candidate for [Position] Hank Gilbert faces increasing scrutiny following new claims surrounding his personal life and alleged criminal misconduct. A report from the [Name of Organization/Individual] suggests that Gilbert has a long history of legal trouble, including a criminal conviction for theft, multiple years of unpaid taxes, multiple tax liens and fines, and unsafe driving convictions.  These charges, dating back years, are now being re-examined in the light of his candidacy and have raised serious questions about his integrity and suitability for the [Position].  The report further claims Gilbert has recently been accused of taking a bribe and has on record lied to the press about his past criminal record.  The potential implications for Gilbert's candidacy are significant. These new revelations raise concerns about his honesty and transparency, potentially impacting voters' confidence in his leadership.  Adding to the controversy, some have also called for his withdrawal from the race, pointing out the potential consequences for his future political aspirations and the potential for public backlash. The situation is still unfolding, and it remains to be seen what the consequences of these allegations will be.",5,3,"[0.010408518835902214, 0.13500922918319702, 0.0715964213013649, 0.19273802638053894, 0.14455822110176086, 0.44568952918052673]","[0.01691363751888275, 0.1397005319595337, 0.14819861948490143, 0.26732829213142395, 0.21311672031879425, 0.21474219858646393]",3,0.4456895291805267,0.2673282921314239,2.111716298776098,2.365141230648921,0.11914542065668861
3161.json,"From 1980 to 1990, the top 1 percent saw their income go up by roughly 80 percent while the median wage in the country over (the same) 10 years went up 3 percent.","economy,history,income,pundits,taxes",rachel-maddow,MSNBC host,,none,6,6,4,6,1,"HBO's ""Real Time with Bill Maher""","The median wage in the country, expressed in constant 2009 dollars, does appear to be in the range Maddow cited (though with statistics broken out separately for men and women, we can't be precise). It's not unreasonable to cite those numbers, but the economists we spoke to preferred to use figures that included capital gains, which show the top 1 percent saw an increase of 55 percent. Either way, Maddow's point that the 1980s were much more of a boon for the very rich than everyone else is valid.",neutral,not_question,0,0.62,non-curse,neutral,clean,non-offensive,LEFT,"The past decade has seen stark divides emerge between the fortunes of the top 1% of the population and the rest of the country. Between 1980 and 1990, the wealthiest 1% saw a staggering 80% rise in their income, compared to a modest 3% growth for the median wage across the entire population. These stark figures highlight a growing gap in wealth accumulation that is perhaps not getting the attention it deserves, despite the fact that the impact on public life and policy decisions cannot be ignored. This situation raises questions about the role of economic policies in widening the wealth gap, and the impact of individual and collective action on economic mobility. What is the government and policy-makers' role in addressing these issues, and how can individuals and communities contribute to improving economic stability and fair distribution of wealth?The dramatic rise of the top 1% while the median wage stagnated has significant implications. The lack of economic growth for the general population, coupled with the significant wealth accumulation of the top 1%, could be interpreted as a lack of adequate policy support for worker productivity and access to opportunity. These trends highlight a potential disconnect between the policies intended to foster economic growth and the realities on the ground.  As for",5,4,"[0.010932514443993568, 0.15379156172275543, 0.0746593028306961, 0.1928403228521347, 0.24660252034664154, 0.321173757314682]","[0.0021792647894471884, 0.08085191249847412, 0.07522816956043243, 0.29416561126708984, 0.3701063394546509, 0.1774686723947525]",4,0.321173757314682,0.3701063394546509,2.248344659823436,2.0861314709025147,0.11886844364863336
5510.json,Theyre paying a less rate of tax -- these richest people in America -- than they have in the last 80 years.,"taxes,wealth",steve-rothman,,,democrat,1,2,0,1,1,a campaign video posted on YouTube,"The FBI, not Haneys Homeland Security department, would handle a terrorism investigation. The State Department, meanwhile, would play little to no role in whether a case is opened, closed or anything else.",neutral,not_question,1,1.87,non-curse,neutral,clean,non-offensive,RIGHT,"The headlines are flashing: ""Tax breaks for the wealthy!"" ""Tax fraud!"" ""The richest are getting away with murder!"" These are not new sounds, just the latest volley in the eternal debate about taxation. The reality, however, is far more complicated than any politician's promise. While citizens debate the ""fairness"" of taxes, a deeper, less-discussed reality looms: the richest Americans are currently paying less in taxes than they have in the last 80 years.The numbers are stark. According to a recent study by the Tax Foundation, the top 1% of earners in America now pay an average effective tax rate of just 10.7% compared to the 36.4% average tax rate of the early 1970s. This is a staggering difference. As the gap between the wealthiest and the rest grows, their tax burden decreases as their fortunes grow.These numbers are not just a theoretical exercise. They are the stark reality of a system that allows for loopholes, deductions, and tax credits that disproportionately benefit the wealthy. These loopholes, often disguised as legal tax breaks, are used to manipulate tax burdens, leaving the wealthy with less of a tax liability than they would otherwise have.Consider",5,4,"[0.02621328830718994, 0.15310145914554596, 0.08715526759624481, 0.18265189230442047, 0.2140839844942093, 0.33679407835006714]","[0.00806412473320961, 0.1025690883398056, 0.07894716411828995, 0.22907927632331848, 0.35276496410369873, 0.22857533395290375]",4,0.3367940783500671,0.3527649641036987,2.3119071525720294,2.186255291298871,0.11880915095949969
